Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,5.020,0.158,3.135,-2.000
AI,5.054,0.158,2.192,-2.000
AI,5.088,0.195,1.532,-2.000
AI,5.131,0.195,12.380,-2.000
AI,5.173,0.195,8.654,-2.000
AI,5.217,0.195,6.104,-2.000
AI,5.260,0.195,4.308,-2.000
AI,5.304,0.206,3.050,-2.000
AI,5.349,0.206,8.711,-2.000
AI,5.395,0.206,6.140,-2.000
AI,5.441,0.206,4.330,-2.000
AI,5.487,0.206,3.063,-2.000
AI,5.534,0.192,2.181,-2.000
AI,5.546,0.192,7.302,-2.000
AI,5.558,0.192,5.112,-2.000
AI,5.571,0.192,3.569,-2.000
AI,5.584,0.192,2.485,-2.000
AI,5.597,0.213,1.725,-2.000
AI,5.551,0.213,13.193,-2.000
AI,5.506,0.213,9.191,-2.000
AI,5.460,0.213,6.457,-2.000
AI,5.415,0.213,4.526,-2.000
AI,5.370,0.262,3.169,-2.000
AI,5.327,0.262,2.252,-1.000
AI,5.284,0.262,1.576,-2.000
AI,5.242,0.262,1.102,-2.000
AI,5.199,0.262,0.771,-2.000
AI,5.156,0.218,0.539,-2.000
AI,5.169,0.218,4.579,-2.000
AI,5.182,0.218,3.207,-2.000
AI,5.194,0.218,2.246,-2.000
AI,5.207,0.218,1.572,-2.000
AI,5.220,0.346,1.103,-2.000
AI,5.194,0.346,13.756,-2.000
AI,5.168,0.346,9.637,-2.000
AI,5.142,0.346,6.739,-2.000
AI,5.116,0.346,4.737,-2.000
AI,5.090,0.524,3.332,-2.000
AI,5.033,0.524,9.279,-2.000
AI,4.976,0.524,6.524,-2.000
AI,4.920,0.524,4.581,-2.000
AI,4.863,0.524,3.221,-2.000
AI,4.807,0.566,2.275,-2.000
AI,4.838,0.566,6.104,-2.000
AI,4.868,0.566,4.326,-2.000
AI,4.899,0.566,3.082,-2.000
AI,4.930,0.566,2.218,-2.000
AI,4.961,0.597,1.623,-2.000
AI,4.946,0.597,5.245,-2.000
AI,4.930,0.597,3.671,-2.000
AI,4.915,0.597,2.574,-2.000
AI,4.900,0.597,1.819,-2.000
AI,4.885,0.608,1.309,-2.000
AI,4.873,0.608,4.533,-2.000
AI,4.861,0.608,3.219,-2.000
AI,4.850,0.608,2.307,-2.000
AI,4.838,0.608,1.682,-2.000
AI,4.826,0.634,1.262,-2.000
AI,4.809,0.634,9.060,-2.000
AI,4.792,0.634,6.379,-2.000
AI,4.776,0.634,4.492,-2.000
AI,4.759,0.634,3.174,-2.000
AI,4.742,0.641,2.263,-2.000
AI,4.751,0.641,5.781,-2.000
AI,4.760,0.641,4.071,-2.000
AI,4.769,0.641,2.880,-2.000
AI,4.777,0.641,2.058,-2.000
AI,4.786,0.628,1.501,-2.000
AI,4.765,0.628,36.474,-2.000
AI,4.744,0.628,25.565,-2.000
AI,4.723,0.628,17.931,-2.000
AI,4.701,0.628,12.590,-2.000
AI,4.680,0.661,8.819,-2.000
AI,4.684,0.661,33.882,-2.000
AI,4.687,0.661,23.728,-2.000
AI,4.691,0.661,16.622,-2.000
AI,4.694,0.661,11.651,-2.000
AI,4.698,0.360,8.147,-2.000
AI,4.700,0.360,24.201,-2.000
AI,4.686,0.360,16.927,-2.000
AI,4.674,0.360,11.840,-2.000
AI,4.663,0.360,8.255,-2.000
AI,4.654,0.683,5.807,-2.000
AI,4.582,0.683,23.086,-2.000
AI,4.510,0.683,16.207,-2.000
AI,4.439,0.683,11.397,-2.000
AI,4.368,0.683,8.012,-2.000
