Label,Distance,StrafingIntensity,AngularVelocity
AI,4.903,0.146,1.058
AI,4.940,0.146,5.747
AI,4.921,0.146,4.090
AI,4.904,0.146,2.956
AI,4.887,0.146,2.202
AI,4.871,0.079,1.724
AI,4.779,0.079,7.377
AI,4.686,0.079,5.260
AI,4.593,0.079,3.786
AI,4.499,0.079,2.772
AI,4.405,0.026,2.089
AI,4.548,0.026,4.643
AI,4.692,0.026,3.290
AI,4.837,0.026,2.349
AI,4.981,0.026,1.699
AI,5.126,0.060,1.254
AI,5.029,0.060,3.330
AI,4.933,0.060,2.413
AI,4.840,0.060,1.818
AI,4.747,0.060,1.464
AI,4.656,0.068,1.280
AI,4.790,0.068,9.151
AI,4.925,0.068,6.474
AI,5.060,0.068,4.592
AI,5.195,0.068,3.280
AI,5.331,0.071,2.374
AI,5.278,0.071,3.306
AI,5.226,0.071,2.359
AI,5.177,0.071,1.755
AI,5.128,0.071,1.407
AI,5.082,0.127,1.239
AI,5.067,0.127,3.338
AI,5.053,0.127,2.421
AI,5.038,0.127,1.816
AI,5.023,0.127,1.433
AI,5.008,0.159,1.205
AI,5.028,0.159,4.564
AI,5.048,0.159,3.274
AI,5.068,0.159,2.394
AI,5.087,0.159,1.810
AI,5.107,0.163,1.437
AI,5.081,0.163,2.722
AI,5.055,0.163,2.030
AI,5.030,0.163,1.578
AI,5.004,0.163,1.296
AI,4.978,0.161,1.130
AI,4.983,0.161,1.558
AI,4.989,0.161,1.276
AI,4.995,0.161,1.115
AI,5.001,0.161,1.029
AI,5.007,0.155,0.986
AI,5.010,0.155,7.284
AI,5.013,0.155,5.183
AI,5.016,0.155,3.722
AI,5.019,0.155,2.719
AI,5.022,0.135,2.046
AI,5.074,0.135,1.071
AI,5.126,0.135,0.944
AI,5.178,0.135,0.876
AI,5.230,0.135,0.838
AI,5.281,0.162,0.817
AI,5.238,0.162,7.808
AI,5.195,0.162,5.512
AI,5.153,0.162,3.909
AI,5.110,0.162,2.801
AI,5.067,0.152,2.049
AI,5.009,0.152,10.160
AI,4.951,0.152,7.152
AI,4.893,0.152,5.086
AI,4.835,0.152,3.643
AI,4.777,0.042,2.647
AI,4.808,0.042,2.388
AI,4.838,0.042,1.786
AI,4.869,0.042,1.402
AI,4.901,0.042,1.169
AI,4.932,0.122,1.037
AI,4.969,0.122,3.532
AI,5.007,0.122,2.492
AI,5.045,0.122,1.796
AI,5.082,0.122,1.349
AI,5.120,0.050,1.084
AI,5.210,0.050,2.541
AI,5.286,0.050,1.785
AI,5.361,0.050,1.251
AI,5.436,0.050,0.873
AI,5.510,0.103,0.605
AI,5.528,0.103,2.583
AI,5.547,0.103,1.853
AI,5.567,0.103,1.369
AI,5.588,0.103,1.063
AI,5.609,0.040,0.886
AI,5.629,0.040,4.792
AI,5.651,0.040,3.347
AI,5.674,0.040,2.339
AI,5.699,0.040,1.645
AI,5.726,0.063,1.181
AI,5.627,0.063,5.476
AI,5.530,0.063,3.841
AI,5.436,0.063,2.702
AI,5.343,0.063,1.924
AI,5.251,0.021,1.410
AI,5.313,0.021,3.607
AI,5.375,0.021,2.531
AI,5.436,0.021,1.776
AI,5.497,0.021,1.246
AI,5.557,0.059,0.875
AI,5.512,0.059,5.690
AI,5.469,0.059,3.973
AI,5.427,0.059,2.781
AI,5.386,0.059,1.968
AI,5.345,0.082,1.435
AI,5.396,0.082,1.261
AI,5.448,0.082,1.002
AI,5.499,0.082,0.853
AI,5.551,0.082,0.774
AI,5.602,0.138,0.736
AI,5.567,0.138,2.848
AI,5.532,0.138,2.068
AI,5.497,0.138,1.549
AI,5.462,0.138,1.220
AI,5.427,0.154,1.023
AI,5.465,0.154,6.426
AI,5.504,0.154,4.554
AI,5.542,0.154,3.253
AI,5.580,0.154,2.358
AI,5.619,0.056,1.754
AI,5.551,0.056,3.859
AI,5.483,0.056,2.707
AI,5.414,0.056,1.917
AI,5.346,0.056,1.386
AI,5.278,0.135,1.043
AI,5.249,0.135,2.333
AI,5.221,0.135,1.695
AI,5.193,0.135,1.288
AI,5.166,0.135,1.049
AI,5.138,0.041,0.925
AI,5.050,0.041,3.786
AI,4.961,0.041,2.681
AI,4.873,0.041,1.913
AI,4.784,0.041,1.384
AI,4.695,0.134,1.022
AI,4.713,0.134,4.819
AI,4.732,0.134,3.413
AI,4.752,0.134,2.452
AI,4.773,0.134,1.811
AI,4.794,0.069,1.404
AI,4.856,0.069,1.650
AI,4.919,0.069,1.301
AI,4.982,0.069,1.079
AI,5.044,0.069,0.942
AI,5.107,0.065,0.857
AI,5.180,0.065,2.402
AI,5.254,0.065,1.738
AI,5.327,0.065,1.294
AI,5.400,0.065,1.004
AI,5.473,0.086,0.822
AI,5.394,0.086,4.014
AI,5.314,0.086,2.843
AI,5.235,0.086,2.031
AI,5.155,0.086,1.475
AI,5.075,0.126,1.103
AI,5.089,0.126,2.779
AI,5.053,0.126,2.006
AI,5.017,0.126,1.482
AI,4.980,0.126,1.137
AI,4.943,0.084,0.920
AI,4.893,0.084,2.831
AI,4.845,0.084,2.128
AI,4.800,0.084,1.696
AI,4.756,0.084,1.459
AI,4.714,0.032,1.350
AI,4.758,0.032,4.438
AI,4.800,0.032,3.157
AI,4.841,0.032,2.257
AI,4.880,0.032,1.624
AI,4.920,0.027,1.182
AI,4.964,0.027,6.196
AI,5.009,0.027,4.345
AI,5.054,0.027,3.044
AI,5.098,0.027,2.131
AI,5.143,0.023,1.491
AI,5.178,0.023,3.880
AI,5.212,0.023,2.718
AI,5.247,0.023,1.903
AI,5.282,0.023,1.332
AI,5.317,0.046,0.933
AI,5.355,0.046,1.220
AI,5.394,0.046,0.861
AI,5.432,0.046,0.622
AI,5.472,0.046,0.472
AI,5.511,0.083,0.388
AI,5.574,0.083,2.696
AI,5.637,0.083,1.916
AI,5.701,0.083,1.386
AI,5.765,0.083,1.038
AI,5.829,0.129,0.819
AI,5.835,0.129,5.118
AI,5.841,0.129,3.613
AI,5.848,0.129,2.573
AI,5.855,0.129,1.869
AI,5.863,0.107,1.406
AI,5.857,0.107,2.136
AI,5.852,0.107,1.611
AI,5.848,0.107,1.274
AI,5.843,0.107,1.068
AI,5.838,0.147,0.948
AI,5.786,0.147,8.430
AI,5.734,0.147,5.947
AI,5.682,0.147,4.204
AI,5.629,0.147,2.992
AI,5.577,0.117,2.159
AI,5.576,0.117,6.774
AI,5.576,0.117,4.779
AI,5.576,0.117,3.390
AI,5.576,0.117,2.437
AI,5.576,0.174,1.798
AI,5.581,0.174,2.493
AI,5.586,0.174,1.809
AI,5.591,0.174,1.367
AI,5.596,0.174,1.101
AI,5.601,0.091,0.954
AI,5.561,0.091,5.236
AI,5.522,0.091,3.716
AI,5.482,0.091,2.667
AI,5.443,0.091,1.955
AI,5.403,0.152,1.486
AI,5.448,0.152,2.238
AI,5.493,0.152,1.660
AI,5.538,0.152,1.285
AI,5.583,0.152,1.053
AI,5.628,0.152,0.916
AI,5.604,0.152,1.385
AI,5.580,0.152,1.114
AI,5.556,0.152,0.961
AI,5.532,0.152,0.882
AI,5.509,0.163,0.845
AI,5.509,0.163,6.497
AI,5.509,0.163,4.590
AI,5.509,0.163,3.266
AI,5.510,0.163,2.361
AI,5.510,0.142,1.756
AI,5.497,0.142,5.758
AI,5.439,0.142,4.112
AI,5.380,0.142,2.961
AI,5.320,0.142,2.162
AI,5.260,0.101,1.613
AI,5.260,0.101,1.920
AI,5.260,0.101,1.339
AI,5.259,0.101,0.948
AI,5.257,0.101,0.699
AI,5.255,0.119,0.551
AI,5.274,0.119,8.673
AI,5.294,0.119,6.113
AI,5.315,0.119,4.318
AI,5.336,0.119,3.075
AI,5.358,0.011,3.285
AI,4.822,0.011,3.739
AI,4.291,0.011,2.619
AI,3.767,0.011,1.834
AI,3.250,0.011,1.284
AI,2.741,0.011,0.898
AI,2.227,0.103,2.483
AI,2.283,0.103,5.240
AI,2.336,0.103,3.862
AI,2.386,0.103,2.911
AI,2.433,0.038,2.263
AI,2.406,0.038,17.009
AI,2.378,0.038,11.932
AI,2.348,0.038,8.350
AI,2.317,0.038,5.894
AI,2.285,0.005,4.165
AI,2.192,0.005,10.036
AI,2.100,0.005,7.074
AI,2.008,0.005,5.023
AI,1.916,0.005,3.576
AI,1.825,0.032,2.559
AI,1.734,0.032,20.918
AI,1.644,0.032,14.692
AI,1.555,0.032,10.354
AI,1.467,0.032,7.320
AI,1.380,0.023,5.252
AI,1.295,0.023,12.544
AI,1.211,0.023,8.760
AI,1.258,0.023,6.157
AI,1.274,0.023,4.321
AI,1.282,0.034,3.030
AI,1.334,0.034,6.420
AI,1.391,0.034,4.899
AI,1.451,0.034,3.879
AI,1.514,0.034,3.207
AI,1.578,0.012,2.769
AI,1.491,0.012,9.559
AI,1.404,0.012,6.529
AI,1.318,0.012,4.459
AI,1.308,0.012,3.074
AI,1.301,0.021,2.118
AI,1.306,0.021,15.787
AI,1.306,0.021,11.095
AI,1.299,0.021,7.789
AI,1.215,0.021,5.654
AI,1.250,0.019,3.992
AI,1.270,0.019,8.489
AI,1.283,0.019,5.953
AI,1.293,0.019,4.166
AI,1.299,0.019,2.911
AI,1.304,0.017,2.033
AI,1.391,0.017,4.716
AI,1.479,0.017,3.380
AI,1.567,0.017,2.446
AI,1.657,0.017,1.795
AI,1.746,0.036,1.343
AI,1.716,0.036,8.771
AI,1.691,0.036,6.150
AI,1.671,0.036,4.378
AI,1.655,0.036,3.265
AI,1.642,0.043,2.664
AI,1.680,0.043,3.458
AI,1.718,0.043,2.952
AI,1.758,0.043,2.676
AI,1.799,0.043,2.531
AI,1.840,0.044,2.452
AI,1.932,0.044,12.623
AI,1.970,0.044,8.782
AI,2.008,0.044,6.169
AI,2.047,0.044,4.340
AI,2.086,0.007,3.077
AI,2.173,0.007,4.349
AI,2.262,0.007,3.156
AI,2.353,0.007,2.347
AI,2.444,0.007,1.810
AI,2.538,0.027,1.462
AI,2.680,0.027,4.428
AI,2.824,0.027,3.103
AI,2.969,0.027,2.171
AI,3.114,0.027,1.516
AI,3.260,0.003,1.058
AI,3.303,0.003,3.128
AI,3.346,0.003,2.200
AI,3.389,0.003,1.556
AI,3.433,0.003,1.112
AI,3.476,0.032,0.813
AI,3.510,0.032,3.802
AI,3.543,0.032,2.663
AI,3.577,0.032,1.865
AI,3.611,0.032,1.306
AI,3.645,0.048,0.915
AI,3.688,0.048,1.070
AI,3.731,0.048,0.754
AI,3.774,0.048,0.539
AI,3.817,0.048,0.397
AI,3.861,0.068,0.305
AI,3.953,0.068,6.423
AI,4.045,0.068,4.508
AI,4.137,0.068,3.162
AI,4.229,0.068,2.220
AI,4.321,0.040,1.561
AI,4.396,0.040,6.250
AI,4.471,0.040,4.366
AI,4.546,0.040,3.049
AI,4.622,0.040,2.135
AI,4.698,0.010,1.510
AI,4.788,0.010,7.775
AI,4.878,0.010,5.428
AI,4.967,0.010,3.778
AI,5.057,0.010,2.622
AI,5.147,0.054,1.817
AI,5.064,0.054,10.309
AI,4.981,0.054,7.204
AI,4.898,0.054,5.066
AI,4.816,0.054,3.565
AI,4.733,0.084,2.519
AI,4.774,0.084,0.923
AI,4.816,0.084,0.856
AI,4.858,0.084,0.825
AI,4.900,0.084,0.812
AI,4.944,0.158,0.809
AI,4.910,0.158,2.333
AI,4.877,0.158,1.746
AI,4.844,0.158,1.373
AI,4.811,0.158,1.149
AI,4.779,0.160,1.028
AI,4.813,0.160,1.070
AI,4.848,0.160,0.983
AI,4.882,0.160,0.940
AI,4.917,0.160,0.919
AI,4.952,0.093,0.908
AI,4.993,0.093,4.269
AI,5.035,0.093,3.053
AI,5.076,0.093,2.223
AI,5.118,0.093,1.673
AI,5.159,0.197,1.319
AI,5.166,0.197,4.222
AI,5.174,0.197,3.056
AI,5.181,0.197,2.263
AI,5.189,0.197,1.737
AI,5.197,0.146,1.400
AI,5.172,0.146,1.873
AI,5.147,0.146,1.455
AI,5.121,0.146,1.201
AI,5.096,0.146,1.056
AI,5.071,0.138,0.978
AI,5.072,0.138,4.092
AI,5.013,0.138,2.938
AI,4.954,0.138,2.156
AI,4.896,0.138,1.645
AI,4.837,0.059,1.328
AI,4.868,0.059,6.962
AI,4.898,0.059,4.919
AI,4.929,0.059,3.489
AI,4.960,0.059,2.496
AI,4.991,0.060,1.815
AI,4.940,0.060,5.145
AI,4.888,0.060,3.628
AI,4.836,0.060,2.574
AI,4.784,0.060,1.852
AI,4.731,0.059,1.367
AI,4.710,0.059,6.638
AI,4.690,0.059,4.664
AI,4.669,0.059,3.281
AI,4.648,0.059,2.316
AI,4.626,0.014,2.846
AI,3.977,0.014,13.158
AI,3.333,0.014,9.170
AI,2.698,0.014,6.446
AI,2.073,0.014,4.521
AI,1.465,0.014,3.167
AI,1.334,0.070,2.212
AI,1.389,0.070,9.794
AI,1.445,0.070,6.941
AI,1.503,0.070,5.008
AI,1.562,0.126,3.694
AI,1.502,0.126,2.599
AI,1.445,0.126,2.315
AI,1.389,0.126,2.251
AI,1.336,0.126,2.316
AI,1.326,0.028,1.850
AI,1.387,0.028,13.360
AI,1.453,0.028,9.213
AI,1.523,0.028,6.397
AI,1.596,0.028,4.437
AI,1.671,0.037,3.104
AI,1.754,0.037,12.947
AI,1.837,0.037,9.080
AI,1.921,0.037,6.447
AI,2.005,0.037,4.602
AI,2.090,0.013,3.323
AI,2.182,0.013,3.388
AI,2.275,0.013,2.387
AI,2.368,0.013,1.686
AI,2.461,0.013,1.196
AI,2.555,0.023,0.853
AI,2.648,0.023,2.133
AI,2.741,0.023,1.498
AI,2.835,0.023,1.056
AI,2.928,0.023,0.750
AI,3.022,0.026,0.538
AI,3.115,0.026,5.368
AI,3.209,0.026,3.763
AI,3.303,0.026,2.636
AI,3.397,0.026,1.846
AI,3.490,0.001,1.293
AI,3.585,0.001,4.624
AI,3.679,0.001,3.240
AI,3.774,0.001,2.268
AI,3.868,0.001,1.588
AI,3.963,0.055,1.111
AI,3.981,0.055,3.180
AI,4.001,0.055,2.227
AI,4.023,0.055,1.599
AI,4.046,0.055,1.218
AI,4.070,0.022,1.021
AI,4.164,0.022,5.223
AI,4.257,0.022,3.663
AI,4.351,0.022,2.567
AI,4.444,0.022,1.798
AI,4.538,0.055,1.258
AI,4.608,0.055,5.004
AI,4.678,0.055,3.505
AI,4.750,0.055,2.461
AI,4.821,0.055,1.741
AI,4.894,0.040,1.254
AI,4.969,0.040,3.249
AI,4.986,0.040,2.315
AI,5.004,0.040,1.679
AI,5.023,0.040,1.261
AI,5.042,0.072,0.999
AI,5.066,0.072,4.138
AI,5.090,0.072,2.917
AI,5.113,0.072,2.068
AI,5.137,0.072,1.482
AI,5.160,0.062,1.084
AI,5.186,0.062,1.272
AI,5.213,0.062,0.927
AI,5.239,0.062,0.698
AI,5.265,0.062,0.552
AI,5.290,0.061,0.465
AI,5.325,0.061,6.570
AI,5.359,0.061,4.604
AI,5.393,0.061,3.223
AI,5.427,0.061,2.255
AI,5.460,0.033,1.579
AI,5.487,0.033,3.326
AI,5.514,0.033,2.344
AI,5.541,0.033,1.659
AI,5.568,0.033,1.184
AI,5.595,0.033,0.860
AI,5.632,0.033,2.186
AI,5.668,0.033,1.561
AI,5.705,0.033,1.132
AI,5.741,0.033,0.841
AI,5.778,0.089,0.651
AI,5.726,0.089,4.774
AI,5.673,0.089,3.339
AI,5.622,0.089,2.345
AI,5.570,0.089,1.668
AI,5.519,0.155,1.221
AI,5.516,0.155,0.997
AI,5.513,0.155,0.855
AI,5.510,0.155,0.794
AI,5.508,0.155,0.777
AI,5.506,0.082,0.780
AI,5.440,0.082,3.238
AI,5.373,0.082,2.320
AI,5.306,0.082,1.694
AI,5.239,0.082,1.279
AI,5.173,0.144,1.016
AI,5.158,0.144,6.207
AI,5.143,0.144,4.401
AI,5.129,0.144,3.150
AI,5.116,0.144,2.297
AI,5.102,0.083,1.732
AI,5.056,0.083,3.603
AI,5.010,0.083,2.615
AI,4.963,0.083,1.947
AI,4.917,0.083,1.508
AI,4.870,0.135,1.232
AI,4.849,0.135,7.544
AI,4.828,0.135,5.337
AI,4.807,0.135,3.801
AI,4.786,0.135,2.747
AI,4.766,0.030,2.040
AI,4.853,0.030,1.226
AI,4.940,0.030,0.976
AI,5.026,0.030,0.806
AI,5.113,0.030,0.691
AI,5.199,0.146,0.611
AI,5.255,0.146,2.667
AI,5.312,0.146,1.888
AI,5.369,0.146,1.369
AI,5.426,0.146,1.038
AI,5.483,0.159,0.844
AI,5.476,0.159,6.477
AI,5.470,0.159,4.587
AI,5.464,0.159,3.275
AI,5.459,0.159,2.376
AI,5.453,0.102,1.774
AI,5.383,0.102,3.139
AI,5.313,0.102,2.266
AI,5.242,0.102,1.670
AI,5.171,0.102,1.272
AI,5.100,0.101,1.016
AI,5.118,0.101,3.764
AI,5.081,0.101,2.767
AI,5.045,0.101,2.106
AI,5.010,0.101,1.685
AI,4.977,0.132,1.436
AI,4.983,0.132,4.591
AI,4.989,0.132,3.281
AI,4.996,0.132,2.391
AI,5.003,0.132,1.805
AI,5.011,0.121,1.438
AI,4.936,0.121,4.511
AI,4.860,0.121,3.234
AI,4.784,0.121,2.360
AI,4.707,0.121,1.776
AI,4.630,0.104,1.400
AI,4.543,0.104,7.286
AI,4.456,0.104,5.086
AI,4.371,0.104,3.561
AI,4.286,0.104,2.528
AI,4.201,0.072,1.862
AI,4.064,0.072,3.515
AI,3.927,0.072,2.567
AI,3.789,0.072,1.928
AI,3.652,0.072,1.512
AI,3.514,0.068,1.255
AI,3.488,0.068,2.711
AI,3.461,0.068,1.989
AI,3.433,0.068,1.490
AI,3.406,0.068,1.149
AI,3.378,0.009,2.976
AI,2.790,0.009,14.668
AI,2.212,0.009,10.267
AI,1.646,0.009,7.168
AI,1.303,0.009,5.030
AI,1.303,0.009,3.525
AI,1.306,0.004,2.483
AI,1.306,0.004,3.904
AI,1.303,0.004,2.736
AI,1.298,0.004,1.916
AI,1.291,0.029,1.343
AI,1.371,0.029,4.886
AI,1.453,0.029,3.383
AI,1.537,0.029,2.365
AI,1.621,0.029,1.698
AI,1.706,0.022,1.287
AI,1.797,0.022,3.872
AI,1.888,0.022,2.727
AI,1.980,0.022,1.930
AI,2.071,0.022,1.378
AI,2.163,0.025,0.999
AI,2.256,0.025,4.982
AI,2.348,0.025,3.500
AI,2.441,0.025,2.462
AI,2.534,0.025,1.736
AI,2.627,0.023,1.229
AI,2.719,0.023,9.048
AI,2.811,0.023,6.371
AI,2.904,0.023,4.481
AI,2.996,0.023,3.154
AI,3.089,0.009,2.226
AI,3.183,0.009,6.591
AI,3.277,0.009,4.626
AI,3.371,0.009,3.244
AI,3.465,0.009,2.274
AI,3.560,0.019,1.594
AI,3.654,0.019,5.686
AI,3.748,0.019,3.986
AI,3.842,0.019,2.792
AI,3.936,0.019,1.954
AI,4.031,0.035,1.369
AI,4.121,0.035,3.188
AI,4.212,0.035,2.233
AI,4.302,0.035,1.567
AI,4.393,0.035,1.106
AI,4.484,0.069,0.791
AI,4.561,0.069,5.129
AI,4.640,0.069,3.590
AI,4.718,0.069,2.518
AI,4.796,0.069,1.778
AI,4.875,0.084,1.275
AI,4.923,0.084,4.827
AI,4.913,0.084,3.422
AI,4.902,0.084,2.455
AI,4.893,0.084,1.807
AI,4.884,0.055,1.389
AI,4.960,0.055,2.297
AI,5.036,0.055,1.709
AI,5.113,0.055,1.323
AI,5.192,0.055,1.077
AI,5.271,0.090,0.926
AI,5.230,0.090,2.792
AI,5.190,0.090,2.030
AI,5.149,0.090,1.530
AI,5.109,0.090,1.220
AI,5.069,0.086,1.043
AI,5.100,0.086,7.029
AI,5.130,0.086,4.955
AI,5.161,0.086,3.500
AI,5.191,0.086,2.486
AI,5.221,0.056,1.785
AI,5.280,0.056,6.834
AI,5.339,0.056,4.827
AI,5.400,0.056,3.427
AI,5.461,0.056,2.461
AI,5.524,0.103,1.807
AI,5.490,0.103,4.722
AI,5.457,0.103,3.339
AI,5.425,0.103,2.395
AI,5.393,0.103,1.769
AI,5.361,0.106,1.375
AI,5.392,0.106,1.532
AI,5.423,0.106,1.201
AI,5.453,0.106,1.010
AI,5.484,0.106,0.908
AI,5.514,0.169,0.858
AI,5.476,0.169,2.428
AI,5.438,0.169,1.801
AI,5.399,0.169,1.393
AI,5.361,0.169,1.139
AI,5.322,0.165,0.992
AI,5.351,0.165,1.242
AI,5.380,0.165,1.054
AI,5.409,0.165,0.949
AI,5.438,0.165,0.892
AI,5.467,0.159,0.863
AI,5.467,0.159,5.293
AI,5.468,0.159,3.734
AI,5.468,0.159,2.660
AI,5.468,0.159,1.936
AI,5.469,0.154,1.466
AI,5.458,0.154,5.560
AI,5.448,0.154,3.990
AI,5.438,0.154,2.906
AI,5.428,0.154,2.167
AI,5.417,0.150,1.676
AI,5.374,0.150,3.365
AI,5.331,0.150,2.428
AI,5.287,0.150,1.797
AI,5.244,0.150,1.387
AI,5.200,0.159,1.133
AI,5.208,0.159,2.338
AI,5.215,0.159,1.759
AI,5.223,0.159,1.389
AI,5.231,0.159,1.166
AI,5.240,0.102,1.039
AI,5.305,0.102,4.275
AI,5.369,0.102,3.009
AI,5.434,0.102,2.138
AI,5.498,0.102,1.551
AI,5.562,0.142,1.166
AI,5.515,0.142,2.921
AI,5.468,0.142,2.074
AI,5.421,0.142,1.509
AI,5.374,0.142,1.150
AI,5.327,0.106,0.940
AI,5.286,0.106,5.012
AI,5.245,0.106,3.572
AI,5.204,0.106,2.579
AI,5.164,0.106,1.908
AI,5.124,0.125,1.470
AI,5.163,0.125,0.987
AI,5.150,0.125,0.855
AI,5.136,0.125,0.774
AI,5.122,0.125,0.719
AI,5.107,0.007,0.684
AI,5.148,0.007,5.398
AI,5.191,0.007,3.765
AI,5.236,0.007,2.622
AI,5.282,0.007,1.832
AI,5.329,0.121,1.299
AI,5.346,0.121,5.922
AI,5.367,0.121,4.168
AI,5.392,0.121,2.959
AI,5.419,0.121,2.148
AI,5.450,0.065,1.632
AI,5.424,0.065,5.319
AI,5.398,0.065,3.689
AI,5.372,0.065,2.556
AI,5.345,0.065,1.778
AI,5.317,0.058,1.259
AI,5.388,0.058,8.886
AI,5.462,0.058,6.243
AI,5.537,0.058,4.383
AI,5.615,0.058,3.085
AI,5.694,0.059,2.191
AI,5.608,0.059,5.029
AI,5.525,0.059,3.502
AI,5.444,0.059,2.439
AI,5.365,0.059,1.715
AI,5.287,0.049,1.248
AI,5.356,0.049,4.964
AI,5.425,0.049,3.479
AI,5.495,0.049,2.447
AI,5.564,0.049,1.739
AI,5.634,0.116,1.262
AI,5.603,0.116,5.319
AI,5.573,0.116,3.784
AI,5.543,0.116,2.723
AI,5.513,0.116,2.001
AI,5.484,0.139,1.523
AI,5.445,0.139,2.640
AI,5.407,0.139,1.942
AI,5.368,0.139,1.482
AI,5.330,0.139,1.191
AI,5.292,0.119,1.018
AI,5.282,0.119,9.645
AI,5.272,0.119,6.765
AI,5.263,0.119,4.788
AI,5.253,0.119,3.414
AI,5.244,0.071,2.473
AI,5.204,0.071,3.382
AI,5.164,0.071,2.439
AI,5.124,0.071,1.807
AI,5.084,0.071,1.398
AI,5.044,0.180,1.148
AI,5.096,0.180,2.113
AI,5.149,0.180,1.587
AI,5.201,0.180,1.248
AI,5.253,0.180,1.040
AI,5.305,0.065,0.917
AI,5.266,0.065,1.838
AI,5.226,0.065,1.411
AI,5.187,0.065,1.146
AI,5.148,0.065,0.995
AI,5.109,0.178,0.914
AI,5.068,0.178,1.397
AI,5.028,0.178,1.152
AI,4.988,0.178,1.011
AI,4.947,0.178,0.935
AI,4.907,0.139,0.900
AI,4.880,0.139,1.495
AI,4.853,0.139,1.230
AI,4.826,0.139,1.079
AI,4.799,0.139,1.001
AI,4.773,0.085,0.967
AI,4.727,0.085,7.197
AI,4.682,0.085,5.128
AI,4.636,0.085,3.688
AI,4.590,0.085,2.699
AI,4.545,0.107,2.032
AI,4.534,0.107,5.342
AI,4.481,0.107,3.712
AI,4.427,0.107,2.582
AI,4.372,0.107,1.809
AI,4.317,0.040,1.294
AI,4.269,0.040,7.843
AI,4.221,0.040,5.509
AI,4.173,0.040,3.863
AI,4.125,0.040,2.706
AI,4.076,0.004,1.962
AI,3.544,0.004,7.015
AI,3.018,0.004,4.922
AI,2.499,0.004,3.450
AI,1.989,0.004,2.416
AI,1.493,0.004,1.692
AI,1.220,0.078,1.342
AI,1.256,0.078,9.459
AI,1.302,0.078,7.123
AI,1.357,0.078,5.639
AI,1.417,0.008,4.737
AI,1.389,0.008,12.316
AI,1.359,0.008,8.715
AI,1.328,0.008,6.232
AI,1.296,0.008,4.470
AI,1.264,0.027,3.219
AI,1.270,0.027,7.258
AI,1.281,0.027,5.149
AI,1.291,0.027,3.655
AI,1.299,0.027,2.599
AI,1.304,0.068,1.853
AI,1.291,0.068,13.155
AI,1.208,0.068,9.121
AI,1.215,0.068,6.412
AI,1.133,0.068,4.442
AI,1.125,0.019,3.107
AI,1.130,0.019,9.148
AI,1.144,0.019,6.441
AI,1.159,0.019,4.527
AI,1.173,0.019,3.179
AI,1.185,0.037,2.232
AI,1.269,0.037,5.758
AI,1.354,0.037,3.989
AI,1.441,0.037,2.762
AI,1.528,0.037,1.922
AI,1.616,0.041,1.360
AI,1.704,0.041,26.638
AI,1.793,0.041,18.648
AI,1.882,0.041,13.057
AI,1.971,0.041,9.107
AI,2.061,0.081,6.412
AI,2.141,0.081,9.992
AI,2.223,0.081,7.035
AI,2.305,0.081,5.005
AI,2.387,0.081,3.593
AI,2.469,0.003,2.623
AI,2.563,0.003,7.389
AI,2.656,0.003,5.199
AI,2.750,0.003,3.656
AI,2.843,0.003,2.571
AI,2.937,0.082,1.810
AI,3.010,0.082,11.286
AI,3.085,0.082,7.880
AI,3.159,0.082,5.547
AI,3.235,0.082,3.915
AI,3.310,0.019,2.787
AI,3.404,0.019,1.295
AI,3.497,0.019,0.910
AI,3.591,0.019,0.639
AI,3.684,0.019,0.444
AI,3.778,0.035,0.309
AI,3.870,0.035,4.997
AI,3.963,0.035,3.500
AI,4.055,0.035,2.450
AI,4.148,0.035,1.716
AI,4.240,0.042,1.204
AI,4.333,0.042,2.838
AI,4.426,0.042,1.997
AI,4.519,0.042,1.408
AI,4.613,0.042,0.999
AI,4.706,0.074,0.716
AI,4.696,0.074,3.738
AI,4.640,0.074,2.667
AI,4.587,0.074,1.969
AI,4.537,0.074,1.555
AI,4.489,0.019,1.348
AI,4.475,0.019,8.258
AI,4.458,0.019,5.825
AI,4.441,0.019,4.114
AI,4.422,0.019,2.917
AI,4.402,0.028,2.084
AI,4.359,0.028,4.398
AI,4.316,0.028,3.089
AI,4.274,0.028,2.176
AI,4.233,0.028,1.544
AI,4.192,0.032,12.769
AI,3.664,0.032,4.351
AI,3.146,0.032,3.048
AI,2.640,0.032,2.135
AI,2.152,0.032,1.494
AI,1.691,0.032,1.046
AI,1.396,0.097,7.430
AI,1.493,0.097,11.269
AI,1.583,0.097,8.602
AI,1.666,0.097,6.740
AI,1.742,0.010,5.441
AI,1.719,0.010,21.162
AI,1.694,0.010,15.015
AI,1.666,0.010,10.702
AI,1.637,0.010,7.656
AI,1.607,0.002,5.541
AI,1.519,0.002,25.180
AI,1.431,0.002,17.635
AI,1.344,0.002,12.359
AI,1.257,0.002,8.639
AI,1.171,0.005,6.097
AI,1.086,0.005,10.925
AI,1.125,0.005,7.618
AI,1.157,0.005,5.342
AI,1.183,0.005,3.742
AI,1.207,0.025,2.619
AI,1.288,0.025,15.463
AI,1.371,0.025,10.886
AI,1.456,0.025,7.667
AI,1.541,0.025,5.461
AI,1.627,0.032,3.921
AI,1.557,0.032,6.867
AI,1.488,0.032,4.947
AI,1.421,0.032,3.682
AI,1.355,0.032,2.920
AI,1.292,0.030,2.538
