Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,1.347,0.125,1.190,-2.000
AI,1.294,0.125,0.869,-2.000
AI,1.242,0.109,0.656,-2.000
AI,1.275,0.109,25.839,-2.000
AI,1.311,0.109,18.657,-2.000
AI,1.350,0.109,13.643,-2.000
AI,1.393,0.109,10.105,-2.000
AI,1.439,0.081,7.685,-2.000
AI,1.509,0.081,9.645,-2.000
AI,1.581,0.081,7.165,-2.000
AI,1.654,0.081,5.409,-2.000
AI,1.730,0.081,4.169,-2.000
AI,1.807,0.053,3.292,-2.000
AI,1.719,0.053,20.817,-2.000
AI,1.632,0.053,14.584,-2.000
AI,1.545,0.053,10.207,-2.000
AI,1.459,0.053,7.112,-2.000
AI,1.374,0.160,4.964,-2.000
AI,1.343,0.160,21.417,-2.000
AI,1.317,0.160,14.786,-2.000
AI,1.310,0.160,10.224,-2.000
AI,1.307,0.160,7.030,-2.000
AI,1.304,0.169,4.849,-2.000
AI,1.304,0.169,5.464,-2.000
AI,1.304,0.169,3.827,-2.000
AI,1.305,0.169,2.680,-2.000
AI,1.305,0.169,1.878,-2.000
AI,1.305,0.143,1.317,-2.000
AI,1.312,0.143,3.156,-2.000
AI,1.321,0.143,2.209,-2.000
AI,1.331,0.143,1.553,-2.000
AI,1.340,0.143,1.105,-2.000
AI,1.349,0.161,0.807,-2.000
AI,1.350,0.161,27.318,-2.000
AI,1.350,0.161,19.175,-2.000
AI,1.350,0.161,13.476,-2.000
AI,1.350,0.161,9.447,-2.000
AI,1.350,0.246,6.698,-2.000
AI,1.328,0.246,14.228,-2.000
AI,1.307,0.246,9.950,-2.000
AI,1.285,0.246,6.946,-2.000
AI,1.280,0.246,4.875,-2.000
AI,1.278,0.215,3.418,-2.000
AI,1.317,0.215,8.905,-2.000
AI,1.357,0.215,6.290,-2.000
AI,1.397,0.215,4.449,-2.000
AI,1.437,0.215,3.164,-2.000
AI,1.477,0.199,2.273,-2.000
AI,1.489,0.199,11.513,-2.000
AI,1.501,0.199,7.998,-2.000
AI,1.513,0.199,5.589,-2.000
AI,1.525,0.199,3.896,-2.000
AI,1.537,0.182,2.716,-2.000
AI,1.545,0.182,4.148,-2.000
AI,1.553,0.182,3.004,-2.000
AI,1.561,0.182,2.204,-2.000
AI,1.569,0.182,1.648,-2.000
AI,1.577,0.218,1.264,-2.000
AI,1.578,0.218,6.365,-2.000
AI,1.579,0.218,4.527,-2.000
AI,1.580,0.218,3.242,-2.000
AI,1.582,0.218,2.349,-2.000
AI,1.583,0.231,1.734,-2.000
AI,1.605,0.231,5.284,-2.000
AI,1.626,0.231,3.780,-2.000
AI,1.648,0.231,2.731,-2.000
AI,1.669,0.231,2.005,-2.000
AI,1.691,0.228,1.509,-2.000
AI,1.689,0.228,46.496,-2.000
AI,1.687,0.228,32.483,-2.000
AI,1.685,0.228,22.675,-2.000
AI,1.684,0.228,15.810,-2.000
AI,1.682,0.227,11.007,-2.000
AI,1.700,0.227,5.998,-2.000
AI,1.718,0.227,4.146,-2.000
AI,1.736,0.227,2.851,-2.000
AI,1.754,0.227,1.954,-2.000
AI,1.772,0.093,1.341,-2.000
AI,1.789,0.093,19.345,-2.000
AI,1.776,0.093,13.495,-2.000
AI,1.764,0.093,9.359,-2.000
AI,1.755,0.093,6.550,-2.000
AI,1.748,0.409,4.595,-2.000
AI,1.719,0.409,40.655,-2.000
AI,1.695,0.409,28.771,-2.000
AI,1.677,0.409,20.505,-2.000
AI,1.664,0.409,14.771,-2.000
AI,1.655,0.584,10.814,-2.000
AI,1.622,0.584,28.606,-2.000
AI,1.598,0.584,20.098,-2.000
AI,1.583,0.584,14.187,-2.000
AI,1.575,0.584,10.116,-2.000
AI,1.574,0.134,7.351,-2.000
AI,1.597,0.134,29.500,-2.000
AI,1.623,0.134,20.625,-2.000
AI,1.653,0.134,14.416,-2.000
AI,1.685,0.134,10.081,-2.000
AI,1.719,0.107,7.049,-2.000
AI,1.706,0.107,22.108,-2.000
AI,1.696,0.107,15.418,-2.000
AI,1.688,0.107,10.741,-2.000
AI,1.683,0.107,7.463,-2.000
AI,1.680,0.109,5.242,-2.000
AI,1.624,0.109,20.774,-2.000
AI,1.568,0.109,14.542,-2.000
AI,1.513,0.109,10.191,-2.000
AI,1.458,0.109,7.135,-2.000
AI,1.403,0.161,5.038,-2.000
AI,1.458,0.161,44.563,-2.000
AI,1.514,0.161,31.084,-2.000
AI,1.569,0.161,21.649,-2.000
AI,1.625,0.161,15.044,-2.000
AI,1.682,0.289,10.422,-2.000
AI,1.691,0.289,36.362,-2.000
AI,1.701,0.289,25.595,-2.000
AI,1.712,0.289,18.073,-2.000
AI,1.722,0.289,12.819,-2.000
AI,1.733,0.288,9.115,-2.000
AI,1.784,0.288,23.652,-2.000
AI,1.834,0.288,16.522,-2.000
AI,1.885,0.288,11.534,-2.000
AI,1.936,0.288,8.018,-2.000
AI,1.988,0.769,5.608,-2.000
AI,1.997,0.769,29.019,-2.000
AI,2.010,0.769,20.377,-2.000
AI,2.025,0.769,14.343,-2.000
AI,2.043,0.769,10.138,-2.000
AI,2.062,0.165,7.202,-2.000
AI,2.068,0.165,15.001,-2.000
AI,2.074,0.165,10.498,-2.000
AI,2.080,0.165,7.328,-2.000
AI,2.086,0.165,5.146,-2.000
AI,2.092,0.074,3.613,-2.000
AI,2.116,0.074,21.646,-2.000
AI,2.139,0.074,15.151,-2.000
AI,2.163,0.074,10.605,-2.000
AI,2.186,0.074,7.402,-2.000
AI,2.210,0.042,5.195,-2.000
AI,2.237,0.042,14.124,-2.000
AI,2.265,0.042,9.886,-2.000
AI,2.293,0.042,6.903,-2.000
AI,2.321,0.042,4.843,-2.000
AI,2.348,0.169,3.393,-2.000
AI,2.365,0.169,41.424,-2.000
AI,2.383,0.169,29.013,-2.000
AI,2.400,0.169,20.327,-2.000
AI,2.417,0.169,14.248,-2.000
AI,2.434,0.090,9.993,-2.000
